lang,lang_group,model_id,model_family,treebank,split,deprel,layer,head,direction,mean_attention,std_attention,n_arcs
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,1,1,head_to_dep,0.025486660642275845,0.021158891553905178,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,1,1,dep_to_head,0.02801104213190453,0.021133136216970595,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,1,2,head_to_dep,0.02604094413401467,0.01746458399189801,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,1,2,dep_to_head,0.022175938136366116,0.015174324193945399,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,1,3,head_to_dep,0.0237172342439583,0.01883914306658787,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,1,3,dep_to_head,0.023334891193926403,0.018849123130504738,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,1,4,head_to_dep,0.024643614132274692,0.0181344364242507,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,1,4,dep_to_head,0.023706569678814154,0.01586879335634571,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,1,5,head_to_dep,0.023242275189084206,0.018639804642763574,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,1,5,dep_to_head,0.02616518899597929,0.0200560656631025,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,1,6,head_to_dep,0.018471350614607935,0.01489751079734326,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,1,6,dep_to_head,0.02171762340656177,0.01814044313291138,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,1,7,head_to_dep,0.023618439144204872,0.039258266816619064,446
gl,romanico,fpuentes/bert-galician,manual,UD_Galician-TreeGal,test,nsubj,1,7,dep_to_head,0.039539323185542215,0.05316049172398243,446
