lang,lang_group,model_id,model_family,treebank,split,deprel,layer,head,direction,mean_attention,std_attention,n_arcs
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,1,1,head_to_dep,0.03231492496514275,0.029666912147987966,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,1,1,dep_to_head,0.048864626588775974,0.042890389511647926,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,1,2,head_to_dep,0.04112717751705927,0.041764795921000956,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,1,2,dep_to_head,0.04128146552973565,0.031623549725335785,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,1,3,head_to_dep,0.051790641681051026,0.05250833528528064,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,1,3,dep_to_head,0.06808789061161068,0.059347846831253166,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,1,4,head_to_dep,0.07240860913452095,0.0839860318664048,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,1,4,dep_to_head,0.09593959060088302,0.0872685750881968,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,1,5,head_to_dep,0.03444532609248175,0.03352911371556652,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,1,5,dep_to_head,0.04669430344668321,0.039841806868569425,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,1,6,head_to_dep,0.03505704109468878,0.04060411023329476,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,1,6,dep_to_head,0.05215820108202073,0.04667939817383026,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,1,7,head_to_dep,0.08362865174774418,0.09121336743353453,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,1,7,dep_to_head,0.1473590399323889,0.13476287445121535,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,1,8,head_to_dep,0.0500635611096443,0.05370643662172495,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,1,8,dep_to_head,0.0512975553883816,0.04103183355973607,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,1,9,head_to_dep,0.03833305877565527,0.03558605541448937,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,1,9,dep_to_head,0.04181082772337435,0.034628276665329076,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,1,10,head_to_dep,0.11457425090240218,0.1914304591770799,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,1,10,dep_to_head,0.020667436618460842,0.07396945452329592,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,1,11,head_to_dep,0.045398026020913446,0.04571750839355921,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,1,11,dep_to_head,0.06955694285380098,0.05892468187384258,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,1,12,head_to_dep,0.0364276567753822,0.0340731296589777,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,1,12,dep_to_head,0.04511583814942466,0.035314478968761234,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,2,1,head_to_dep,0.016680719973409815,0.02239094749176092,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,2,1,dep_to_head,0.009806081962309967,0.013171074741090376,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,2,2,head_to_dep,0.02656527033812813,0.052546990155104355,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,2,2,dep_to_head,0.026035893940743456,0.07116486943197003,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,2,3,head_to_dep,0.023542874088851296,0.14975887719853478,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,2,3,dep_to_head,0.26606628817995365,0.43306666946346367,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,2,4,head_to_dep,0.013610493231950353,0.01732907572595474,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,2,4,dep_to_head,0.028231218490086148,0.027254604450513392,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,2,5,head_to_dep,0.20329013559452025,0.3628624822799195,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,2,5,dep_to_head,0.01734306589343585,0.1200348430851559,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,2,6,head_to_dep,0.05337136195810207,0.08116314929888767,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,2,6,dep_to_head,0.03314748399731345,0.06788528977874017,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,2,7,head_to_dep,0.035605566268966896,0.05393866049481878,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,2,7,dep_to_head,0.013478051488877785,0.02028342788139587,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,2,8,head_to_dep,0.06015191536272496,0.047570979143112056,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,2,8,dep_to_head,0.04668334103222036,0.040567378029762145,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,2,9,head_to_dep,0.020097626314964145,0.022841825953628245,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,2,9,dep_to_head,0.01151523923403098,0.014671397983955937,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,2,10,head_to_dep,0.0036658608525914895,0.00590917411756714,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,2,10,dep_to_head,0.002558749626126222,0.003993062743288659,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,2,11,head_to_dep,0.02335690011478117,0.0235561972134801,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,2,11,dep_to_head,0.01833208091994236,0.018513041989577053,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,2,12,head_to_dep,0.006747459119839075,0.010474009298864124,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,2,12,dep_to_head,0.0037277341772492018,0.004197318542883602,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,3,1,head_to_dep,0.01992156153498844,0.019415533450265685,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,3,1,dep_to_head,0.023988875056170093,0.026304605601092382,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,3,2,head_to_dep,0.023087466860794232,0.05384506013749706,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,3,2,dep_to_head,0.08534678762197526,0.0846492257705934,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,3,3,head_to_dep,0.062171310420936966,0.12156060522859959,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,3,3,dep_to_head,0.01652202673744228,0.05520957120152275,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,3,4,head_to_dep,0.0020913542393144473,0.009081751536906367,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,3,4,dep_to_head,0.0867199357548723,0.2050975459740542,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,3,5,head_to_dep,0.016192374737561844,0.035296849652779176,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,3,5,dep_to_head,0.014596316742414772,0.01925348016476183,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,3,6,head_to_dep,0.08114964508666105,0.0904508503539195,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,3,6,dep_to_head,0.025928973253726957,0.06544945389662261,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,3,7,head_to_dep,0.048114019608560474,0.08147555069234097,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,3,7,dep_to_head,0.03088907745653143,0.04540225105176301,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,3,8,head_to_dep,0.18642177852796657,0.32758393846115386,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,3,8,dep_to_head,0.01971193432164659,0.12721977994704592,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,3,9,head_to_dep,0.005880654241131026,0.011981301676487303,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,3,9,dep_to_head,0.004282118595023707,0.009259150635103169,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,3,10,head_to_dep,0.008964849212778537,0.011123691807215265,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,3,10,dep_to_head,0.006850675069019637,0.007550870747370211,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,3,11,head_to_dep,0.0049043288886912815,0.02183988297161365,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,3,11,dep_to_head,0.00494196206537329,0.018591542948730617,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,3,12,head_to_dep,0.022806172562156616,0.08139020629520437,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,3,12,dep_to_head,0.2187736320899033,0.33622563244228876,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,4,1,head_to_dep,0.0048030920921956315,0.032015770504872,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,4,1,dep_to_head,0.0013017504201845646,0.0043621241299655585,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,4,2,head_to_dep,0.07401224684458473,0.13177187498506726,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,4,2,dep_to_head,0.015928464948785605,0.07531492079508341,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,4,3,head_to_dep,0.023426760347756335,0.030879063891965645,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,4,3,dep_to_head,0.020171201313091986,0.023961038434689136,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,4,4,head_to_dep,0.0330492107938907,0.08920346614732838,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,4,4,dep_to_head,0.10998084977595246,0.14680160185648924,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,4,5,head_to_dep,0.027145455869106834,0.031904244840582775,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,4,5,dep_to_head,0.09016285884933287,0.07629618689662282,446
gl,romanico,marcosgg/bert-base-gl-cased,manual,UD_Galician-TreeGal,test,nsubj,4,6,head_to_dep,0.016473768862028164,0.04038934255397659,446
