group,deprel,metric,n_pairs,mean,weighted_mean
romance_romance_excluding_pt_gl,nsubj,rho_micro_index,14,0.140126,0.140362
romance_romance_excluding_pt_gl,nsubj,rho_macro,14,0.405095,0.454112
romance_romance_excluding_pt_gl,nsubj,rho_micro_matched_joint,14,0.663324,0.671535
romance_romance_excluding_pt_gl,nsubj,rho_micro_matched_loo,14,0.498489,0.498765
romance_romance_excluding_pt_gl,obj,rho_micro_index,14,0.115271,0.12422
romance_romance_excluding_pt_gl,obj,rho_macro,14,0.305694,0.363556
romance_romance_excluding_pt_gl,obj,rho_micro_matched_joint,14,0.720095,0.737027
romance_romance_excluding_pt_gl,obj,rho_micro_matched_loo,14,0.622281,0.64142
romance_romance_excluding_pt_gl,case,rho_micro_index,14,0.006712,0.003331
romance_romance_excluding_pt_gl,case,rho_macro,14,0.155345,0.180094
romance_romance_excluding_pt_gl,case,rho_micro_matched_joint,14,0.545684,0.547136
romance_romance_excluding_pt_gl,case,rho_micro_matched_loo,14,0.316354,0.321785
romance_romance_excluding_pt_gl,amod,rho_micro_index,14,0.04548,0.049466
romance_romance_excluding_pt_gl,amod,rho_macro,14,0.194306,0.23978
romance_romance_excluding_pt_gl,amod,rho_micro_matched_joint,14,0.684629,0.688898
romance_romance_excluding_pt_gl,amod,rho_micro_matched_loo,14,0.54853,0.548573
german_romance,nsubj,rho_micro_index,6,0.127069,0.137972
german_romance,nsubj,rho_macro,6,0.342657,0.380548
german_romance,nsubj,rho_micro_matched_joint,6,0.670219,0.67829
german_romance,nsubj,rho_micro_matched_loo,6,0.433012,0.436186
german_romance,obj,rho_micro_index,6,0.02754,0.035721
german_romance,obj,rho_macro,6,0.362471,0.386884
german_romance,obj,rho_micro_matched_joint,6,0.682799,0.684389
german_romance,obj,rho_micro_matched_loo,6,0.407227,0.402736
german_romance,case,rho_micro_index,6,0.06475,0.063659
german_romance,case,rho_macro,6,0.051282,0.055534
german_romance,case,rho_micro_matched_joint,6,0.559232,0.559392
german_romance,case,rho_micro_matched_loo,6,0.238901,0.239168
german_romance,amod,rho_micro_index,6,0.060191,0.064921
german_romance,amod,rho_macro,6,0.43007,0.434177
german_romance,amod,rho_micro_matched_joint,6,0.616721,0.61738
german_romance,amod,rho_micro_matched_loo,6,0.29372,0.291049
