group,deprel,metric,n_pairs,mean,weighted_mean
all_pairs,nsubj,rho_micro_index,21,0.171622,0.165929
all_pairs,nsubj,rho_macro,21,0.411921,0.445008
all_pairs,nsubj,rho_micro_matched_joint,21,0.677768,0.68297
all_pairs,nsubj,rho_micro_matched_loo,21,0.49985,0.491814
all_pairs,obj,rho_micro_index,21,0.128004,0.135576
all_pairs,obj,rho_macro,21,0.351648,0.398181
all_pairs,obj,rho_micro_matched_joint,21,0.718924,0.729941
all_pairs,obj,rho_micro_matched_loo,21,0.571407,0.578957
all_pairs,case,rho_micro_index,21,0.066502,0.057064
all_pairs,case,rho_macro,21,0.158175,0.174216
all_pairs,case,rho_micro_matched_joint,21,0.56782,0.566206
all_pairs,case,rho_micro_matched_loo,21,0.320847,0.322706
all_pairs,amod,rho_micro_index,21,0.089719,0.089741
all_pairs,amod,rho_macro,21,0.291375,0.322637
all_pairs,amod,rho_micro_matched_joint,21,0.675056,0.676093
all_pairs,amod,rho_micro_matched_loo,21,0.490581,0.484739
without_pt_gl_pair,nsubj,rho_micro_index,20,0.136209,0.139491
without_pt_gl_pair,nsubj,rho_macro,20,0.386364,0.427304
without_pt_gl_pair,nsubj,rho_micro_matched_joint,20,0.665393,0.673997
without_pt_gl_pair,nsubj,rho_micro_matched_loo,20,0.478846,0.47596
without_pt_gl_pair,obj,rho_micro_index,20,0.088951,0.096031
without_pt_gl_pair,obj,rho_macro,20,0.322727,0.370987
without_pt_gl_pair,obj,rho_micro_matched_joint,20,0.708906,0.72026
without_pt_gl_pair,obj,rho_micro_matched_loo,20,0.557765,0.565393
without_pt_gl_pair,case,rho_micro_index,20,0.024123,0.020077
without_pt_gl_pair,case,rho_macro,20,0.124126,0.145518
without_pt_gl_pair,case,rho_micro_matched_joint,20,0.549748,0.550538
without_pt_gl_pair,case,rho_micro_matched_loo,20,0.293118,0.298852
without_pt_gl_pair,amod,rho_micro_index,20,0.049893,0.0543
without_pt_gl_pair,amod,rho_macro,20,0.265035,0.300587
without_pt_gl_pair,amod,rho_micro_matched_joint,20,0.664256,0.666527
without_pt_gl_pair,amod,rho_micro_matched_loo,20,0.472087,0.46802
