distance_band,deprel,rho_micro_index,rho_macro_weighted,rho_micro_matched_joint,rho_micro_matched_loo
all,amod,0.089741,0.322637,0.676093,0.484739
long_ge6,amod,0.13852,0.321113,0.608874,0.414029
medium_3_5,amod,0.117564,0.53467,0.639125,0.47452
short_le2,amod,0.089149,0.306712,0.669838,0.508567
all,case,0.057064,0.174216,0.566206,0.322706
long_ge6,case,0.018982,0.353846,0.557787,0.274894
medium_3_5,case,0.054763,0.381762,0.634405,0.378069
short_le2,case,0.054007,0.161881,0.563246,0.348557
all,nsubj,0.165929,0.445008,0.68297,0.491814
long_ge6,nsubj,0.14061,0.567759,0.700425,0.456348
medium_3_5,nsubj,0.151044,0.563558,0.71617,0.567164
short_le2,nsubj,0.139983,0.376773,0.698503,0.5375
all,obj,0.135576,0.398181,0.729941,0.578957
long_ge6,obj,0.112773,0.462177,0.72943,0.502183
medium_3_5,obj,0.12727,0.453244,0.749725,0.56645
short_le2,obj,0.137573,0.392599,0.737453,0.616416
