lang_a,lang_b,deprel,weight_min_n_arcs,rho_micro_index,rho_macro,rho_micro_matched_joint,rho_micro_matched_loo
de,es,nsubj,337.0,0.117704,0.545455,0.729214,0.460924
de,es,obj,99.0,0.114589,0.671329,0.668182,0.495402
de,es,case,10.0,0.026039,0.538462,0.687505,0.268921
de,es,amod,9.0,0.089715,0.363636,0.605751,0.390664
de,fr,nsubj,88.0,0.110361,0.307692,0.658042,0.328482
de,fr,obj,11.0,-0.001137,0.482517,0.717828,0.460457
de,fr,case,0.0,,,,
de,fr,amod,4.0,0.098802,0.230769,0.58775,0.202677
de,gl,nsubj,74.0,0.215746,0.370629,0.642694,0.506258
de,gl,obj,23.0,0.099558,0.293706,0.735966,0.510859
de,gl,case,1.0,-0.035636,-0.356643,0.417828,0.206559
de,gl,amod,6.0,0.133506,-0.237762,0.528627,0.207596
de,it,nsubj,71.0,0.078056,0.391608,0.730062,0.598372
de,it,obj,20.0,0.057339,0.111888,0.797259,0.501897
de,it,case,1.0,-0.027759,0.356643,0.591078,0.221248
de,it,amod,2.0,0.029134,0.118881,0.32462,0.198183
de,pt,nsubj,221.0,0.1967,0.503497,0.710755,0.528679
de,pt,obj,43.0,0.099582,0.41958,0.758572,0.572731
de,pt,case,7.0,0.002347,0.251748,0.593059,0.420416
de,pt,amod,6.0,0.160204,-0.125874,0.447986,0.313681
de,ro,nsubj,126.0,0.105393,0.594406,0.674387,0.470778
de,ro,obj,21.0,0.018584,0.566434,0.752423,0.3755
de,ro,case,4.0,0.060731,-0.132867,0.523768,0.170131
de,ro,amod,8.0,0.096073,0.524476,0.529865,0.36475
es,fr,nsubj,88.0,-0.021043,0.874126,0.723242,0.352018
es,fr,obj,11.0,-0.004815,0.454545,0.751379,0.508621
es,fr,case,0.0,,,,
es,fr,amod,4.0,0.120344,0.622378,0.699417,0.469335
es,gl,nsubj,74.0,0.085315,0.727273,0.702741,0.447432
es,gl,obj,23.0,0.127229,0.412587,0.735379,0.550663
es,gl,case,1.0,-0.164617,0.272727,0.308894,0.115959
es,gl,amod,6.0,-0.02628,0.440559,0.680488,0.403505
es,it,nsubj,71.0,0.016052,-0.055944,0.668459,0.443558
es,it,obj,20.0,0.001129,0.223776,0.671055,0.405261
es,it,case,1.0,0.043698,0.181818,0.502801,0.182441
es,it,amod,2.0,0.13726,0.454545,0.550643,0.364742
es,pt,nsubj,221.0,0.0899,0.755245,0.685114,0.505381
es,pt,obj,43.0,0.145627,0.412587,0.752134,0.557901
es,pt,case,7.0,-0.121305,0.657343,0.409871,0.215557
es,pt,amod,6.0,0.055542,0.265734,0.621276,0.494868
es,ro,nsubj,126.0,0.189402,0.643357,0.731219,0.367394
es,ro,obj,21.0,0.08767,0.587413,0.766478,0.511032
es,ro,case,4.0,-0.008263,0.153846,0.423049,0.118262
es,ro,amod,8.0,0.17921,0.657343,0.731026,0.611924
fr,gl,nsubj,74.0,0.119717,0.769231,0.730625,0.37071
fr,gl,obj,11.0,-0.029994,0.636364,0.749831,0.449168
fr,gl,case,0.0,,,,
fr,gl,amod,4.0,0.139752,0.454545,0.69029,0.446548
fr,it,nsubj,71.0,0.000265,0.076923,0.557423,0.187766
fr,it,obj,11.0,0.057737,0.125874,0.638634,0.417354
fr,it,case,0.0,,,,
fr,it,amod,2.0,-0.06135,0.594406,0.486432,0.27532
fr,pt,nsubj,88.0,0.088679,0.769231,0.795631,0.540266
fr,pt,obj,11.0,-0.058086,0.923077,0.780166,0.58648
fr,pt,case,0.0,,,,
fr,pt,amod,4.0,0.11057,0.286713,0.645704,0.46868
fr,ro,nsubj,88.0,0.015678,0.713287,0.667233,0.314352
fr,ro,obj,11.0,-0.048533,0.86014,0.770589,0.512993
fr,ro,case,0.0,,,,
fr,ro,amod,4.0,-0.009983,0.293706,0.680496,0.44529
gl,it,nsubj,71.0,0.001383,0.230769,0.601575,0.442034
gl,it,obj,20.0,-0.024399,-0.230769,0.669223,0.419158
gl,it,case,1.0,0.04236,0.181818,0.439189,0.215212
gl,it,amod,2.0,0.131284,0.426573,0.558918,0.23851
gl,pt,nsubj,74.0,0.909521,0.979021,0.924086,0.752343
gl,pt,obj,23.0,0.877972,0.783217,0.908749,0.758822
gl,pt,case,1.0,0.691363,0.692308,0.761679,0.690455
gl,pt,amod,6.0,0.766088,0.629371,0.728125,0.62032
gl,ro,nsubj,74.0,0.192862,0.657343,0.685118,0.512716
gl,ro,obj,21.0,0.168781,0.734266,0.786372,0.419452
gl,ro,case,1.0,0.065565,0.58042,0.505936,0.409203
gl,ro,amod,6.0,0.086159,-0.062937,0.551314,0.370236
it,pt,nsubj,71.0,0.0305,0.307692,0.616522,0.390608
it,pt,obj,20.0,-0.038297,0.020979,0.680986,0.468897
it,pt,case,1.0,0.01704,0.20979,0.605635,0.291862
it,pt,amod,2.0,0.164279,0.405594,0.607612,0.417687
it,ro,nsubj,71.0,0.226762,0.545455,0.69879,0.349096
it,ro,obj,20.0,0.09748,-0.097902,0.656438,0.404292
it,ro,case,1.0,0.150406,-0.20979,0.565445,0.348553
it,ro,amod,2.0,0.243771,0.398601,0.653633,0.389181
pt,ro,nsubj,126.0,0.231231,0.72028,0.675995,0.51184
pt,ro,obj,21.0,0.134857,0.853147,0.732268,0.469942
pt,ro,case,4.0,0.108548,0.545455,0.679773,0.348537
pt,ro,amod,6.0,0.087622,0.20979,0.635725,0.550145
