lang_a,lang_b,deprel,weight_min_n_arcs,rho_micro_index,rho_macro,rho_micro_matched_joint,rho_micro_matched_loo
de,es,nsubj,308.0,0.099192,0.440559,0.710815,0.600575
de,es,obj,164.0,0.105647,0.447552,0.71194,0.433964
de,es,case,278.0,-0.096773,0.328671,0.722896,0.412535
de,es,amod,51.0,0.132964,0.594406,0.52628,0.353585
de,fr,nsubj,127.0,0.124102,0.27972,0.573013,0.359549
de,fr,obj,88.0,-0.044249,0.244755,0.683707,0.299968
de,fr,case,85.0,-0.047834,-0.34965,0.615453,0.347918
de,fr,amod,22.0,0.041805,0.48951,0.490612,0.306274
de,gl,nsubj,116.0,0.220919,0.538462,0.709328,0.631312
de,gl,obj,84.0,0.047006,0.475524,0.747376,0.529833
de,gl,case,133.0,0.182469,0.440559,0.722828,0.348388
de,gl,amod,23.0,0.053279,0.468531,0.675561,0.424178
de,it,nsubj,109.0,0.072751,0.41958,0.749711,0.620179
de,it,obj,53.0,0.031123,-0.13986,0.782075,0.511313
de,it,case,167.0,-0.017193,0.34965,0.588594,0.397544
de,it,amod,24.0,-0.014199,0.412587,0.573491,0.441721
de,pt,nsubj,243.0,0.162873,0.58042,0.74783,0.568704
de,pt,obj,164.0,0.063869,0.496503,0.74877,0.446335
de,pt,case,258.0,0.117511,0.258741,0.673897,0.480842
de,pt,amod,31.0,0.066755,0.573427,0.726879,0.516622
de,ro,nsubj,214.0,0.173555,0.447552,0.745294,0.585737
de,ro,obj,80.0,0.048059,0.461538,0.78734,0.50936
de,ro,case,115.0,0.091813,-0.118881,0.60049,0.349345
de,ro,amod,51.0,0.244156,0.48951,0.458982,0.254521
es,fr,nsubj,127.0,0.071389,0.762238,0.632087,0.490021
es,fr,obj,88.0,0.145716,0.300699,0.747717,0.632996
es,fr,case,85.0,-0.008593,0.272727,0.596383,0.466659
es,fr,amod,22.0,0.175705,0.629371,0.688775,0.465586
es,gl,nsubj,116.0,0.03814,0.671329,0.750647,0.589764
es,gl,obj,84.0,0.132795,0.734266,0.766217,0.684523
es,gl,case,133.0,-0.137987,0.895105,0.66774,0.411269
es,gl,amod,23.0,0.065754,0.762238,0.750856,0.537372
es,it,nsubj,109.0,-0.010912,0.034965,0.684073,0.408954
es,it,obj,53.0,0.117008,0.034965,0.694526,0.564906
es,it,case,167.0,0.117499,0.307692,0.525139,0.19658
es,it,amod,24.0,-0.055699,-0.006993,0.443951,0.351033
es,pt,nsubj,243.0,0.00858,0.615385,0.745008,0.590363
es,pt,obj,288.0,0.063954,0.559441,0.711028,0.617374
es,pt,case,258.0,-0.089426,0.895105,0.604288,0.387147
es,pt,amod,31.0,0.024037,0.657343,0.701274,0.531665
es,ro,nsubj,214.0,0.181155,0.706294,0.737087,0.586191
es,ro,obj,80.0,0.17704,0.356643,0.720388,0.621365
es,ro,case,115.0,-0.089024,0.552448,0.633277,0.31389
es,ro,amod,67.0,0.089523,0.608392,0.73298,0.636806
fr,gl,nsubj,116.0,0.06229,0.727273,0.665622,0.469259
fr,gl,obj,84.0,0.114376,0.615385,0.770276,0.533357
fr,gl,case,85.0,0.098529,0.153846,0.705538,0.499558
fr,gl,amod,22.0,0.112322,0.699301,0.760084,0.628298
fr,it,nsubj,109.0,0.027108,0.118881,0.552299,0.336983
fr,it,obj,53.0,0.016056,0.265734,0.698714,0.460887
fr,it,case,85.0,-0.09275,-0.104895,0.477458,0.400096
fr,it,amod,22.0,-0.005639,0.391608,0.579817,0.371144
fr,pt,nsubj,127.0,0.03634,0.755245,0.76776,0.583546
fr,pt,obj,88.0,0.030709,0.657343,0.733052,0.511482
fr,pt,case,85.0,0.121952,0.356643,0.668343,0.436733
fr,pt,amod,22.0,0.049707,0.601399,0.76348,0.578997
fr,ro,nsubj,127.0,0.063906,0.867133,0.69871,0.53527
fr,ro,obj,80.0,-0.010891,0.447552,0.78947,0.594156
fr,ro,case,85.0,0.010522,0.65035,0.660236,0.453846
fr,ro,amod,22.0,-0.118073,0.713287,0.741833,0.552311
gl,it,nsubj,109.0,0.110076,0.125874,0.672984,0.545555
gl,it,obj,53.0,0.15807,0.06993,0.784792,0.659987
gl,it,case,133.0,-0.031304,0.251748,0.483631,0.181947
gl,it,amod,23.0,0.114939,-0.013986,0.596801,0.432449
gl,pt,nsubj,116.0,0.869601,0.923077,0.896065,0.844357
gl,pt,obj,84.0,0.908609,0.86014,0.93355,0.874721
gl,pt,case,133.0,0.900989,0.937063,0.904746,0.627634
