lang_a,lang_b,deprel,weight_min_n_arcs,rho_micro_index,rho_macro,rho_micro_matched_joint,rho_micro_matched_loo
de,es,nsubj,491.0,0.163162,0.412587,0.689378,0.537043
de,es,obj,294.0,0.127723,0.566434,0.743634,0.389764
de,es,case,1227.0,0.042778,0.20979,0.663934,0.313102
de,es,amod,733.0,0.073752,0.314685,0.559549,0.361217
de,fr,nsubj,304.0,0.073282,0.265734,0.65514,0.451101
de,fr,obj,245.0,0.070244,0.398601,0.710899,0.491411
de,fr,case,1224.0,0.008958,-0.293706,0.44232,0.203549
de,fr,amod,459.0,0.024263,0.153846,0.601543,0.303231
de,gl,nsubj,256.0,0.053099,0.405594,0.694414,0.451503
de,gl,obj,294.0,0.0145,0.356643,0.715304,0.460678
de,gl,case,1227.0,0.203995,0.104895,0.593863,0.204457
de,gl,amod,543.0,0.030596,0.608392,0.68726,0.255534
de,it,nsubj,253.0,0.002391,0.433566,0.686987,0.561382
de,it,obj,263.0,-0.066807,0.454545,0.707033,0.489836
de,it,case,1227.0,-0.053468,0.517483,0.547974,0.134378
de,it,amod,559.0,0.047488,0.517483,0.498995,0.353862
de,pt,nsubj,491.0,0.0305,0.265734,0.70846,0.504389
de,pt,obj,294.0,-0.023005,0.146853,0.700908,0.500667
de,pt,case,1227.0,0.170545,0.034965,0.593304,0.379129
de,pt,amod,733.0,-0.021891,0.251748,0.693831,0.318226
de,ro,nsubj,400.0,0.088397,0.195804,0.72501,0.478378
de,ro,obj,294.0,0.095977,0.902098,0.753914,0.453806
de,ro,case,1227.0,0.007568,-0.482517,0.50514,0.106197
de,ro,amod,733.0,0.180343,0.643357,0.482313,0.24586
es,fr,nsubj,304.0,-0.036617,0.146853,0.63388,0.48058
es,fr,obj,245.0,-0.03185,0.272727,0.663548,0.576674
es,fr,case,1224.0,-0.130765,-0.272727,0.506796,0.346118
es,fr,amod,459.0,-0.110031,-0.335664,0.643489,0.545374
es,gl,nsubj,256.0,0.081063,0.65035,0.716538,0.526807
es,gl,obj,358.0,0.158219,0.636364,0.776457,0.718841
es,gl,case,1230.0,-0.036311,0.41958,0.605361,0.38609
es,gl,amod,543.0,0.039611,0.65035,0.784993,0.638341
es,it,nsubj,253.0,0.05676,0.076923,0.588232,0.54959
es,it,obj,263.0,0.045113,0.027972,0.606708,0.534053
es,it,case,1373.0,0.10371,0.090909,0.517961,0.357668
es,it,amod,559.0,0.046725,0.006993,0.56405,0.44156
es,pt,nsubj,651.0,0.073073,0.587413,0.739908,0.552444
es,pt,obj,695.0,0.15498,0.538462,0.807616,0.760686
es,pt,case,3113.0,-0.035166,0.447552,0.56612,0.460522
es,pt,amod,907.0,0.034853,0.678322,0.824709,0.701636
es,ro,nsubj,400.0,0.246946,0.482517,0.651262,0.484909
es,ro,obj,492.0,0.133932,0.608392,0.735057,0.667257
es,ro,case,1978.0,-0.084716,0.167832,0.515071,0.336368
es,ro,amod,975.0,0.04582,0.307692,0.664589,0.554726
fr,gl,nsubj,256.0,0.155807,0.538462,0.730371,0.593767
fr,gl,obj,245.0,0.109642,0.552448,0.777626,0.666787
fr,gl,case,1224.0,0.027602,0.370629,0.644177,0.399333
