lang_a,lang_b,mode,deprel_eval,layer,head_a,head_b
de,es,matched_joint,(all),1,1,12
de,es,matched_joint,(all),1,2,8
de,es,matched_joint,(all),1,3,6
de,es,matched_joint,(all),1,4,5
de,es,matched_joint,(all),1,5,2
de,es,matched_joint,(all),1,6,4
de,es,matched_joint,(all),1,7,7
de,es,matched_joint,(all),1,8,3
de,es,matched_joint,(all),1,9,1
de,es,matched_joint,(all),1,10,11
de,es,matched_joint,(all),1,11,10
de,es,matched_joint,(all),1,12,9
de,es,matched_joint,(all),2,1,4
de,es,matched_joint,(all),2,2,2
de,es,matched_joint,(all),2,3,12
de,es,matched_joint,(all),2,4,8
de,es,matched_joint,(all),2,5,9
de,es,matched_joint,(all),2,6,5
de,es,matched_joint,(all),2,7,7
de,es,matched_joint,(all),2,8,3
de,es,matched_joint,(all),2,9,10
de,es,matched_joint,(all),2,10,6
de,es,matched_joint,(all),2,11,11
de,es,matched_joint,(all),2,12,1
de,es,matched_joint,(all),3,1,7
de,es,matched_joint,(all),3,2,5
de,es,matched_joint,(all),3,3,2
de,es,matched_joint,(all),3,4,6
de,es,matched_joint,(all),3,5,11
de,es,matched_joint,(all),3,6,1
de,es,matched_joint,(all),3,7,8
de,es,matched_joint,(all),3,8,4
de,es,matched_joint,(all),3,9,3
de,es,matched_joint,(all),3,10,10
de,es,matched_joint,(all),3,11,9
de,es,matched_joint,(all),3,12,12
de,es,matched_joint,(all),4,1,1
de,es,matched_joint,(all),4,2,12
de,es,matched_joint,(all),4,3,7
de,es,matched_joint,(all),4,4,10
de,es,matched_joint,(all),4,5,2
de,es,matched_joint,(all),4,6,8
de,es,matched_joint,(all),4,7,11
de,es,matched_joint,(all),4,8,5
de,es,matched_joint,(all),4,9,4
de,es,matched_joint,(all),4,10,9
de,es,matched_joint,(all),4,11,6
de,es,matched_joint,(all),4,12,3
de,es,matched_joint,(all),5,1,5
de,es,matched_joint,(all),5,2,10
de,es,matched_joint,(all),5,3,8
de,es,matched_joint,(all),5,4,7
de,es,matched_joint,(all),5,5,4
de,es,matched_joint,(all),5,6,9
de,es,matched_joint,(all),5,7,3
de,es,matched_joint,(all),5,8,1
de,es,matched_joint,(all),5,9,11
de,es,matched_joint,(all),5,10,2
de,es,matched_joint,(all),5,11,12
de,es,matched_joint,(all),5,12,6
de,es,matched_joint,(all),6,1,4
de,es,matched_joint,(all),6,2,2
de,es,matched_joint,(all),6,3,10
de,es,matched_joint,(all),6,4,5
de,es,matched_joint,(all),6,5,6
de,es,matched_joint,(all),6,6,12
de,es,matched_joint,(all),6,7,11
de,es,matched_joint,(all),6,8,8
de,es,matched_joint,(all),6,9,1
de,es,matched_joint,(all),6,10,3
de,es,matched_joint,(all),6,11,9
de,es,matched_joint,(all),6,12,7
de,es,matched_joint,(all),7,1,8
de,es,matched_joint,(all),7,2,7
de,es,matched_joint,(all),7,3,11
de,es,matched_joint,(all),7,4,9
de,es,matched_joint,(all),7,5,10
de,es,matched_joint,(all),7,6,1
de,es,matched_joint,(all),7,7,6
de,es,matched_joint,(all),7,8,3
de,es,matched_joint,(all),7,9,2
de,es,matched_joint,(all),7,10,5
de,es,matched_joint,(all),7,11,12
de,es,matched_joint,(all),7,12,4
de,es,matched_joint,(all),8,1,4
de,es,matched_joint,(all),8,2,7
de,es,matched_joint,(all),8,3,3
de,es,matched_joint,(all),8,4,2
de,es,matched_joint,(all),8,5,6
de,es,matched_joint,(all),8,6,1
de,es,matched_joint,(all),8,7,12
de,es,matched_joint,(all),8,8,5
de,es,matched_joint,(all),8,9,8
de,es,matched_joint,(all),8,10,10
de,es,matched_joint,(all),8,11,9
de,es,matched_joint,(all),8,12,11
de,es,matched_joint,(all),9,1,4
de,es,matched_joint,(all),9,2,7
de,es,matched_joint,(all),9,3,2
de,es,matched_joint,(all),9,4,10
de,es,matched_joint,(all),9,5,11
de,es,matched_joint,(all),9,6,1
de,es,matched_joint,(all),9,7,12
de,es,matched_joint,(all),9,8,3
de,es,matched_joint,(all),9,9,6
de,es,matched_joint,(all),9,10,9
de,es,matched_joint,(all),9,11,5
de,es,matched_joint,(all),9,12,8
de,es,matched_joint,(all),10,1,10
de,es,matched_joint,(all),10,2,9
de,es,matched_joint,(all),10,3,1
de,es,matched_joint,(all),10,4,3
de,es,matched_joint,(all),10,5,5
de,es,matched_joint,(all),10,6,8
de,es,matched_joint,(all),10,7,6
de,es,matched_joint,(all),10,8,12
de,es,matched_joint,(all),10,9,2
de,es,matched_joint,(all),10,10,4
de,es,matched_joint,(all),10,11,7
de,es,matched_joint,(all),10,12,11
de,es,matched_joint,(all),11,1,5
de,es,matched_joint,(all),11,2,9
de,es,matched_joint,(all),11,3,2
de,es,matched_joint,(all),11,4,12
de,es,matched_joint,(all),11,5,1
de,es,matched_joint,(all),11,6,8
de,es,matched_joint,(all),11,7,4
de,es,matched_joint,(all),11,8,11
de,es,matched_joint,(all),11,9,3
de,es,matched_joint,(all),11,10,10
de,es,matched_joint,(all),11,11,7
de,es,matched_joint,(all),11,12,6
de,es,matched_joint,(all),12,1,5
de,es,matched_joint,(all),12,2,6
de,es,matched_joint,(all),12,3,3
de,es,matched_joint,(all),12,4,11
de,es,matched_joint,(all),12,5,10
de,es,matched_joint,(all),12,6,1
de,es,matched_joint,(all),12,7,12
de,es,matched_joint,(all),12,8,4
de,es,matched_joint,(all),12,9,7
de,es,matched_joint,(all),12,10,8
de,es,matched_joint,(all),12,11,2
de,es,matched_joint,(all),12,12,9
de,es,matched_loo,nsubj,1,1,3
de,es,matched_loo,nsubj,1,2,8
de,es,matched_loo,nsubj,1,3,6
de,es,matched_loo,nsubj,1,4,12
de,es,matched_loo,nsubj,1,5,5
de,es,matched_loo,nsubj,1,6,4
de,es,matched_loo,nsubj,1,7,2
de,es,matched_loo,nsubj,1,8,7
de,es,matched_loo,nsubj,1,9,1
de,es,matched_loo,nsubj,1,10,11
de,es,matched_loo,nsubj,1,11,9
de,es,matched_loo,nsubj,1,12,10
de,es,matched_loo,nsubj,2,1,5
de,es,matched_loo,nsubj,2,2,4
de,es,matched_loo,nsubj,2,3,12
de,es,matched_loo,nsubj,2,4,8
de,es,matched_loo,nsubj,2,5,9
de,es,matched_loo,nsubj,2,6,2
de,es,matched_loo,nsubj,2,7,7
de,es,matched_loo,nsubj,2,8,3
de,es,matched_loo,nsubj,2,9,10
de,es,matched_loo,nsubj,2,10,6
de,es,matched_loo,nsubj,2,11,11
de,es,matched_loo,nsubj,2,12,1
de,es,matched_loo,nsubj,3,1,7
de,es,matched_loo,nsubj,3,2,3
de,es,matched_loo,nsubj,3,3,11
de,es,matched_loo,nsubj,3,4,6
de,es,matched_loo,nsubj,3,5,4
de,es,matched_loo,nsubj,3,6,2
de,es,matched_loo,nsubj,3,7,8
de,es,matched_loo,nsubj,3,8,1
de,es,matched_loo,nsubj,3,9,5
de,es,matched_loo,nsubj,3,10,10
de,es,matched_loo,nsubj,3,11,9
de,es,matched_loo,nsubj,3,12,12
de,es,matched_loo,nsubj,4,1,1
de,es,matched_loo,nsubj,4,2,12
de,es,matched_loo,nsubj,4,3,7
de,es,matched_loo,nsubj,4,4,5
de,es,matched_loo,nsubj,4,5,11
de,es,matched_loo,nsubj,4,6,8
de,es,matched_loo,nsubj,4,7,2
de,es,matched_loo,nsubj,4,8,10
de,es,matched_loo,nsubj,4,9,4
de,es,matched_loo,nsubj,4,10,9
de,es,matched_loo,nsubj,4,11,6
de,es,matched_loo,nsubj,4,12,3
de,es,matched_loo,nsubj,5,1,5
de,es,matched_loo,nsubj,5,2,10
de,es,matched_loo,nsubj,5,3,8
de,es,matched_loo,nsubj,5,4,7
de,es,matched_loo,nsubj,5,5,4
de,es,matched_loo,nsubj,5,6,9
de,es,matched_loo,nsubj,5,7,3
de,es,matched_loo,nsubj,5,8,1
de,es,matched_loo,nsubj,5,9,11
de,es,matched_loo,nsubj,5,10,2
de,es,matched_loo,nsubj,5,11,12
de,es,matched_loo,nsubj,5,12,6
de,es,matched_loo,nsubj,6,1,4
de,es,matched_loo,nsubj,6,2,2
de,es,matched_loo,nsubj,6,3,7
de,es,matched_loo,nsubj,6,4,5
de,es,matched_loo,nsubj,6,5,11
de,es,matched_loo,nsubj,6,6,12
de,es,matched_loo,nsubj,6,7,10
de,es,matched_loo,nsubj,6,8,8
de,es,matched_loo,nsubj,6,9,1
de,es,matched_loo,nsubj,6,10,6
de,es,matched_loo,nsubj,6,11,3
de,es,matched_loo,nsubj,6,12,9
de,es,matched_loo,nsubj,7,1,8
de,es,matched_loo,nsubj,7,2,7
de,es,matched_loo,nsubj,7,3,11
de,es,matched_loo,nsubj,7,4,9
de,es,matched_loo,nsubj,7,5,10
de,es,matched_loo,nsubj,7,6,1
de,es,matched_loo,nsubj,7,7,6
de,es,matched_loo,nsubj,7,8,3
de,es,matched_loo,nsubj,7,9,2
de,es,matched_loo,nsubj,7,10,5
de,es,matched_loo,nsubj,7,11,12
de,es,matched_loo,nsubj,7,12,4
de,es,matched_loo,nsubj,8,1,8
de,es,matched_loo,nsubj,8,2,10
de,es,matched_loo,nsubj,8,3,3
de,es,matched_loo,nsubj,8,4,2
de,es,matched_loo,nsubj,8,5,5
de,es,matched_loo,nsubj,8,6,1
de,es,matched_loo,nsubj,8,7,12
de,es,matched_loo,nsubj,8,8,6
de,es,matched_loo,nsubj,8,9,4
de,es,matched_loo,nsubj,8,10,7
de,es,matched_loo,nsubj,8,11,9
de,es,matched_loo,nsubj,8,12,11
de,es,matched_loo,nsubj,9,1,4
de,es,matched_loo,nsubj,9,2,7
de,es,matched_loo,nsubj,9,3,2
de,es,matched_loo,nsubj,9,4,5
de,es,matched_loo,nsubj,9,5,11
de,es,matched_loo,nsubj,9,6,1
de,es,matched_loo,nsubj,9,7,10
de,es,matched_loo,nsubj,9,8,3
de,es,matched_loo,nsubj,9,9,6
de,es,matched_loo,nsubj,9,10,9
de,es,matched_loo,nsubj,9,11,12
de,es,matched_loo,nsubj,9,12,8
de,es,matched_loo,nsubj,10,1,4
de,es,matched_loo,nsubj,10,2,9
de,es,matched_loo,nsubj,10,3,1
de,es,matched_loo,nsubj,10,4,3
de,es,matched_loo,nsubj,10,5,10
de,es,matched_loo,nsubj,10,6,8
de,es,matched_loo,nsubj,10,7,6
de,es,matched_loo,nsubj,10,8,12
de,es,matched_loo,nsubj,10,9,7
de,es,matched_loo,nsubj,10,10,5
de,es,matched_loo,nsubj,10,11,2
de,es,matched_loo,nsubj,10,12,11
de,es,matched_loo,nsubj,11,1,5
de,es,matched_loo,nsubj,11,2,9
de,es,matched_loo,nsubj,11,3,2
de,es,matched_loo,nsubj,11,4,12
de,es,matched_loo,nsubj,11,5,1
de,es,matched_loo,nsubj,11,6,11
de,es,matched_loo,nsubj,11,7,4
de,es,matched_loo,nsubj,11,8,8
de,es,matched_loo,nsubj,11,9,3
de,es,matched_loo,nsubj,11,10,10
de,es,matched_loo,nsubj,11,11,7
de,es,matched_loo,nsubj,11,12,6
de,es,matched_loo,nsubj,12,1,5
de,es,matched_loo,nsubj,12,2,6
de,es,matched_loo,nsubj,12,3,3
de,es,matched_loo,nsubj,12,4,11
de,es,matched_loo,nsubj,12,5,12
de,es,matched_loo,nsubj,12,6,9
de,es,matched_loo,nsubj,12,7,8
de,es,matched_loo,nsubj,12,8,4
de,es,matched_loo,nsubj,12,9,7
de,es,matched_loo,nsubj,12,10,1
de,es,matched_loo,nsubj,12,11,2
de,es,matched_loo,nsubj,12,12,10
de,es,matched_loo,obj,1,1,12
de,es,matched_loo,obj,1,2,8
de,es,matched_loo,obj,1,3,6
de,es,matched_loo,obj,1,4,5
de,es,matched_loo,obj,1,5,10
de,es,matched_loo,obj,1,6,4
de,es,matched_loo,obj,1,7,7
de,es,matched_loo,obj,1,8,3
de,es,matched_loo,obj,1,9,1
de,es,matched_loo,obj,1,10,11
de,es,matched_loo,obj,1,11,2
de,es,matched_loo,obj,1,12,9
de,es,matched_loo,obj,2,1,4
de,es,matched_loo,obj,2,2,8
de,es,matched_loo,obj,2,3,9
de,es,matched_loo,obj,2,4,10
de,es,matched_loo,obj,2,5,12
de,es,matched_loo,obj,2,6,5
de,es,matched_loo,obj,2,7,7
de,es,matched_loo,obj,2,8,3
de,es,matched_loo,obj,2,9,6
de,es,matched_loo,obj,2,10,2
de,es,matched_loo,obj,2,11,1
de,es,matched_loo,obj,2,12,11
de,es,matched_loo,obj,3,1,1
de,es,matched_loo,obj,3,2,2
de,es,matched_loo,obj,3,3,5
de,es,matched_loo,obj,3,4,6
de,es,matched_loo,obj,3,5,11
de,es,matched_loo,obj,3,6,10
de,es,matched_loo,obj,3,7,8
de,es,matched_loo,obj,3,8,4
de,es,matched_loo,obj,3,9,3
de,es,matched_loo,obj,3,10,7
de,es,matched_loo,obj,3,11,9
de,es,matched_loo,obj,3,12,12
de,es,matched_loo,obj,4,1,1
de,es,matched_loo,obj,4,2,12
de,es,matched_loo,obj,4,3,5
de,es,matched_loo,obj,4,4,10
de,es,matched_loo,obj,4,5,6
de,es,matched_loo,obj,4,6,2
de,es,matched_loo,obj,4,7,11
de,es,matched_loo,obj,4,8,8
de,es,matched_loo,obj,4,9,4
de,es,matched_loo,obj,4,10,9
de,es,matched_loo,obj,4,11,7
de,es,matched_loo,obj,4,12,3
de,es,matched_loo,obj,5,1,5
de,es,matched_loo,obj,5,2,4
de,es,matched_loo,obj,5,3,8
de,es,matched_loo,obj,5,4,7
de,es,matched_loo,obj,5,5,10
de,es,matched_loo,obj,5,6,9
de,es,matched_loo,obj,5,7,3
de,es,matched_loo,obj,5,8,1
de,es,matched_loo,obj,5,9,11
de,es,matched_loo,obj,5,10,2
de,es,matched_loo,obj,5,11,12
de,es,matched_loo,obj,5,12,6
de,es,matched_loo,obj,6,1,8
de,es,matched_loo,obj,6,2,2
de,es,matched_loo,obj,6,3,10
de,es,matched_loo,obj,6,4,5
de,es,matched_loo,obj,6,5,6
de,es,matched_loo,obj,6,6,9
de,es,matched_loo,obj,6,7,11
de,es,matched_loo,obj,6,8,4
de,es,matched_loo,obj,6,9,3
de,es,matched_loo,obj,6,10,1
de,es,matched_loo,obj,6,11,12
de,es,matched_loo,obj,6,12,7
de,es,matched_loo,obj,7,1,5
de,es,matched_loo,obj,7,2,7
de,es,matched_loo,obj,7,3,11
de,es,matched_loo,obj,7,4,8
de,es,matched_loo,obj,7,5,10
de,es,matched_loo,obj,7,6,9
de,es,matched_loo,obj,7,7,3
de,es,matched_loo,obj,7,8,6
de,es,matched_loo,obj,7,9,2
de,es,matched_loo,obj,7,10,1
de,es,matched_loo,obj,7,11,12
de,es,matched_loo,obj,7,12,4
de,es,matched_loo,obj,8,1,4
de,es,matched_loo,obj,8,2,3
de,es,matched_loo,obj,8,3,1
de,es,matched_loo,obj,8,4,2
de,es,matched_loo,obj,8,5,6
de,es,matched_loo,obj,8,6,12
de,es,matched_loo,obj,8,7,7
de,es,matched_loo,obj,8,8,5
de,es,matched_loo,obj,8,9,8
de,es,matched_loo,obj,8,10,10
de,es,matched_loo,obj,8,11,9
de,es,matched_loo,obj,8,12,11
de,es,matched_loo,obj,9,1,4
de,es,matched_loo,obj,9,2,12
de,es,matched_loo,obj,9,3,2
de,es,matched_loo,obj,9,4,5
de,es,matched_loo,obj,9,5,11
de,es,matched_loo,obj,9,6,1
de,es,matched_loo,obj,9,7,3
de,es,matched_loo,obj,9,8,7
de,es,matched_loo,obj,9,9,6
de,es,matched_loo,obj,9,10,9
de,es,matched_loo,obj,9,11,10
de,es,matched_loo,obj,9,12,8
de,es,matched_loo,obj,10,1,6
de,es,matched_loo,obj,10,2,9
de,es,matched_loo,obj,10,3,10
de,es,matched_loo,obj,10,4,3
de,es,matched_loo,obj,10,5,5
de,es,matched_loo,obj,10,6,8
de,es,matched_loo,obj,10,7,12
de,es,matched_loo,obj,10,8,11
de,es,matched_loo,obj,10,9,2
de,es,matched_loo,obj,10,10,4
de,es,matched_loo,obj,10,11,7
de,es,matched_loo,obj,10,12,1
de,es,matched_loo,obj,11,1,5
de,es,matched_loo,obj,11,2,11
de,es,matched_loo,obj,11,3,4
de,es,matched_loo,obj,11,4,12
de,es,matched_loo,obj,11,5,1
de,es,matched_loo,obj,11,6,2
de,es,matched_loo,obj,11,7,9
de,es,matched_loo,obj,11,8,8
de,es,matched_loo,obj,11,9,3
de,es,matched_loo,obj,11,10,10
de,es,matched_loo,obj,11,11,7
de,es,matched_loo,obj,11,12,6
de,es,matched_loo,obj,12,1,11
de,es,matched_loo,obj,12,2,6
de,es,matched_loo,obj,12,3,5
de,es,matched_loo,obj,12,4,3
de,es,matched_loo,obj,12,5,10
de,es,matched_loo,obj,12,6,1
de,es,matched_loo,obj,12,7,12
de,es,matched_loo,obj,12,8,4
de,es,matched_loo,obj,12,9,7
de,es,matched_loo,obj,12,10,8
de,es,matched_loo,obj,12,11,2
de,es,matched_loo,obj,12,12,9
de,es,matched_loo,case,1,1,6
de,es,matched_loo,case,1,2,7
de,es,matched_loo,case,1,3,1
de,es,matched_loo,case,1,4,12
de,es,matched_loo,case,1,5,5
de,es,matched_loo,case,1,6,4
de,es,matched_loo,case,1,7,8
de,es,matched_loo,case,1,8,3
de,es,matched_loo,case,1,9,2
de,es,matched_loo,case,1,10,11
de,es,matched_loo,case,1,11,9
de,es,matched_loo,case,1,12,10
de,es,matched_loo,case,2,1,4
de,es,matched_loo,case,2,2,2
de,es,matched_loo,case,2,3,12
de,es,matched_loo,case,2,4,8
de,es,matched_loo,case,2,5,9
de,es,matched_loo,case,2,6,3
de,es,matched_loo,case,2,7,7
de,es,matched_loo,case,2,8,11
de,es,matched_loo,case,2,9,10
de,es,matched_loo,case,2,10,6
de,es,matched_loo,case,2,11,5
de,es,matched_loo,case,2,12,1
de,es,matched_loo,case,3,1,7
de,es,matched_loo,case,3,2,2
de,es,matched_loo,case,3,3,3
de,es,matched_loo,case,3,4,6
de,es,matched_loo,case,3,5,11
de,es,matched_loo,case,3,6,4
de,es,matched_loo,case,3,7,8
de,es,matched_loo,case,3,8,1
de,es,matched_loo,case,3,9,5
de,es,matched_loo,case,3,10,10
de,es,matched_loo,case,3,11,9
de,es,matched_loo,case,3,12,12
de,es,matched_loo,case,4,1,1
de,es,matched_loo,case,4,2,7
de,es,matched_loo,case,4,3,12
de,es,matched_loo,case,4,4,10
de,es,matched_loo,case,4,5,2
de,es,matched_loo,case,4,6,8
de,es,matched_loo,case,4,7,11
de,es,matched_loo,case,4,8,5
de,es,matched_loo,case,4,9,4
de,es,matched_loo,case,4,10,9
de,es,matched_loo,case,4,11,3
de,es,matched_loo,case,4,12,6
de,es,matched_loo,case,5,1,8
de,es,matched_loo,case,5,2,7
de,es,matched_loo,case,5,3,5
de,es,matched_loo,case,5,4,10
de,es,matched_loo,case,5,5,4
de,es,matched_loo,case,5,6,9
de,es,matched_loo,case,5,7,3
de,es,matched_loo,case,5,8,1
de,es,matched_loo,case,5,9,11
de,es,matched_loo,case,5,10,2
de,es,matched_loo,case,5,11,6
de,es,matched_loo,case,5,12,12
de,es,matched_loo,case,6,1,4
de,es,matched_loo,case,6,2,2
de,es,matched_loo,case,6,3,10
de,es,matched_loo,case,6,4,6
de,es,matched_loo,case,6,5,5
de,es,matched_loo,case,6,6,12
de,es,matched_loo,case,6,7,11
de,es,matched_loo,case,6,8,8
de,es,matched_loo,case,6,9,1
de,es,matched_loo,case,6,10,3
de,es,matched_loo,case,6,11,9
de,es,matched_loo,case,6,12,7
de,es,matched_loo,case,7,1,1
de,es,matched_loo,case,7,2,3
de,es,matched_loo,case,7,3,8
de,es,matched_loo,case,7,4,12
de,es,matched_loo,case,7,5,10
de,es,matched_loo,case,7,6,7
de,es,matched_loo,case,7,7,6
de,es,matched_loo,case,7,8,11
de,es,matched_loo,case,7,9,2
de,es,matched_loo,case,7,10,5
de,es,matched_loo,case,7,11,9
de,es,matched_loo,case,7,12,4
de,es,matched_loo,case,8,1,4
de,es,matched_loo,case,8,2,7
de,es,matched_loo,case,8,3,9
de,es,matched_loo,case,8,4,2
de,es,matched_loo,case,8,5,10
de,es,matched_loo,case,8,6,1
de,es,matched_loo,case,8,7,6
de,es,matched_loo,case,8,8,5
de,es,matched_loo,case,8,9,8
de,es,matched_loo,case,8,10,3
de,es,matched_loo,case,8,11,11
de,es,matched_loo,case,8,12,12
de,es,matched_loo,case,9,1,3
de,es,matched_loo,case,9,2,5
de,es,matched_loo,case,9,3,4
de,es,matched_loo,case,9,4,7
de,es,matched_loo,case,9,5,9
de,es,matched_loo,case,9,6,1
de,es,matched_loo,case,9,7,10
de,es,matched_loo,case,9,8,12
de,es,matched_loo,case,9,9,6
de,es,matched_loo,case,9,10,11
de,es,matched_loo,case,9,11,2
de,es,matched_loo,case,9,12,8
de,es,matched_loo,case,10,1,9
de,es,matched_loo,case,10,2,5
de,es,matched_loo,case,10,3,1
de,es,matched_loo,case,10,4,3
de,es,matched_loo,case,10,5,10
de,es,matched_loo,case,10,6,8
de,es,matched_loo,case,10,7,6
de,es,matched_loo,case,10,8,12
de,es,matched_loo,case,10,9,2
de,es,matched_loo,case,10,10,4
de,es,matched_loo,case,10,11,7
de,es,matched_loo,case,10,12,11
de,es,matched_loo,case,11,1,5
de,es,matched_loo,case,11,2,12
de,es,matched_loo,case,11,3,4
de,es,matched_loo,case,11,4,2
de,es,matched_loo,case,11,5,1
de,es,matched_loo,case,11,6,8
de,es,matched_loo,case,11,7,9
de,es,matched_loo,case,11,8,11
de,es,matched_loo,case,11,9,3
de,es,matched_loo,case,11,10,6
de,es,matched_loo,case,11,11,7
de,es,matched_loo,case,11,12,10
de,es,matched_loo,case,12,1,5
de,es,matched_loo,case,12,2,6
de,es,matched_loo,case,12,3,3
de,es,matched_loo,case,12,4,11
de,es,matched_loo,case,12,5,12
de,es,matched_loo,case,12,6,1
de,es,matched_loo,case,12,7,7
de,es,matched_loo,case,12,8,4
de,es,matched_loo,case,12,9,9
de,es,matched_loo,case,12,10,8
de,es,matched_loo,case,12,11,2
de,es,matched_loo,case,12,12,10
de,es,matched_loo,amod,1,1,10
de,es,matched_loo,amod,1,2,2
de,es,matched_loo,amod,1,3,1
de,es,matched_loo,amod,1,4,4
de,es,matched_loo,amod,1,5,6
de,es,matched_loo,amod,1,6,3
de,es,matched_loo,amod,1,7,7
de,es,matched_loo,amod,1,8,9
de,es,matched_loo,amod,1,9,5
de,es,matched_loo,amod,1,10,11
de,es,matched_loo,amod,1,11,8
de,es,matched_loo,amod,1,12,12
de,es,matched_loo,amod,2,1,4
de,es,matched_loo,amod,2,2,2
de,es,matched_loo,amod,2,3,12
de,es,matched_loo,amod,2,4,8
de,es,matched_loo,amod,2,5,9
de,es,matched_loo,amod,2,6,5
de,es,matched_loo,amod,2,7,7
de,es,matched_loo,amod,2,8,3
de,es,matched_loo,amod,2,9,10
de,es,matched_loo,amod,2,10,6
de,es,matched_loo,amod,2,11,11
de,es,matched_loo,amod,2,12,1
de,es,matched_loo,amod,3,1,7
de,es,matched_loo,amod,3,2,5
de,es,matched_loo,amod,3,3,2
de,es,matched_loo,amod,3,4,6
de,es,matched_loo,amod,3,5,11
de,es,matched_loo,amod,3,6,10
de,es,matched_loo,amod,3,7,8
de,es,matched_loo,amod,3,8,4
de,es,matched_loo,amod,3,9,3
de,es,matched_loo,amod,3,10,1
de,es,matched_loo,amod,3,11,9
de,es,matched_loo,amod,3,12,12
de,es,matched_loo,amod,4,1,1
de,es,matched_loo,amod,4,2,12
de,es,matched_loo,amod,4,3,10
de,es,matched_loo,amod,4,4,7
de,es,matched_loo,amod,4,5,2
de,es,matched_loo,amod,4,6,8
de,es,matched_loo,amod,4,7,11
de,es,matched_loo,amod,4,8,5
de,es,matched_loo,amod,4,9,4
de,es,matched_loo,amod,4,10,9
de,es,matched_loo,amod,4,11,6
de,es,matched_loo,amod,4,12,3
de,es,matched_loo,amod,5,1,2
de,es,matched_loo,amod,5,2,10
de,es,matched_loo,amod,5,3,8
de,es,matched_loo,amod,5,4,6
de,es,matched_loo,amod,5,5,1
de,es,matched_loo,amod,5,6,9
de,es,matched_loo,amod,5,7,3
de,es,matched_loo,amod,5,8,4
de,es,matched_loo,amod,5,9,11
de,es,matched_loo,amod,5,10,7
de,es,matched_loo,amod,5,11,12
de,es,matched_loo,amod,5,12,5
de,es,matched_loo,amod,6,1,4
de,es,matched_loo,amod,6,2,1
de,es,matched_loo,amod,6,3,7
de,es,matched_loo,amod,6,4,5
de,es,matched_loo,amod,6,5,6
de,es,matched_loo,amod,6,6,12
de,es,matched_loo,amod,6,7,11
de,es,matched_loo,amod,6,8,8
de,es,matched_loo,amod,6,9,10
de,es,matched_loo,amod,6,10,3
de,es,matched_loo,amod,6,11,9
de,es,matched_loo,amod,6,12,2
de,es,matched_loo,amod,7,1,5
de,es,matched_loo,amod,7,2,7
de,es,matched_loo,amod,7,3,9
de,es,matched_loo,amod,7,4,11
de,es,matched_loo,amod,7,5,10
de,es,matched_loo,amod,7,6,1
de,es,matched_loo,amod,7,7,2
de,es,matched_loo,amod,7,8,3
de,es,matched_loo,amod,7,9,6
de,es,matched_loo,amod,7,10,8
de,es,matched_loo,amod,7,11,12
de,es,matched_loo,amod,7,12,4
de,es,matched_loo,amod,8,1,4
de,es,matched_loo,amod,8,2,12
de,es,matched_loo,amod,8,3,2
de,es,matched_loo,amod,8,4,3
de,es,matched_loo,amod,8,5,6
de,es,matched_loo,amod,8,6,1
de,es,matched_loo,amod,8,7,7
de,es,matched_loo,amod,8,8,5
de,es,matched_loo,amod,8,9,8
de,es,matched_loo,amod,8,10,10
de,es,matched_loo,amod,8,11,9
de,es,matched_loo,amod,8,12,11
de,es,matched_loo,amod,9,1,4
de,es,matched_loo,amod,9,2,12
de,es,matched_loo,amod,9,3,2
de,es,matched_loo,amod,9,4,7
de,es,matched_loo,amod,9,5,11
de,es,matched_loo,amod,9,6,1
de,es,matched_loo,amod,9,7,8
de,es,matched_loo,amod,9,8,3
de,es,matched_loo,amod,9,9,6
de,es,matched_loo,amod,9,10,9
de,es,matched_loo,amod,9,11,5
de,es,matched_loo,amod,9,12,10
de,es,matched_loo,amod,10,1,11
de,es,matched_loo,amod,10,2,9
de,es,matched_loo,amod,10,3,1
de,es,matched_loo,amod,10,4,3
de,es,matched_loo,amod,10,5,10
de,es,matched_loo,amod,10,6,8
de,es,matched_loo,amod,10,7,6
de,es,matched_loo,amod,10,8,5
de,es,matched_loo,amod,10,9,2
de,es,matched_loo,amod,10,10,4
de,es,matched_loo,amod,10,11,7
de,es,matched_loo,amod,10,12,12
de,es,matched_loo,amod,11,1,5
de,es,matched_loo,amod,11,2,2
de,es,matched_loo,amod,11,3,4
de,es,matched_loo,amod,11,4,1
de,es,matched_loo,amod,11,5,12
de,es,matched_loo,amod,11,6,11
de,es,matched_loo,amod,11,7,6
de,es,matched_loo,amod,11,8,8
de,es,matched_loo,amod,11,9,3
de,es,matched_loo,amod,11,10,9
de,es,matched_loo,amod,11,11,7
de,es,matched_loo,amod,11,12,10
de,es,matched_loo,amod,12,1,9
de,es,matched_loo,amod,12,2,8
de,es,matched_loo,amod,12,3,1
de,es,matched_loo,amod,12,4,3
de,es,matched_loo,amod,12,5,5
de,es,matched_loo,amod,12,6,4
