lang_a,lang_b,deprel,weight_min_n_arcs,rho_micro_index,rho_macro,rho_micro_matched_joint,rho_micro_matched_loo
de,es,nsubj,1136.0,0.202532,0.524476,0.701563,0.468166
de,es,obj,584.0,0.124013,0.447552,0.682377,0.334069
de,es,case,1525.0,0.046102,0.244755,0.647106,0.324263
de,es,amod,793.0,0.077562,0.335664,0.5712,0.335258
de,fr,nsubj,519.0,0.115782,0.118881,0.648999,0.396057
de,fr,obj,344.0,0.05432,0.335664,0.712419,0.405064
de,fr,case,1309.0,0.006045,-0.244755,0.497167,0.192907
de,fr,amod,485.0,0.025412,0.160839,0.591198,0.307391
de,gl,nsubj,446.0,0.133016,0.601399,0.647215,0.397432
de,gl,obj,465.0,0.013552,0.300699,0.657905,0.432763
de,gl,case,1364.0,0.202982,0.216783,0.633783,0.286062
de,gl,amod,572.0,0.035528,0.615385,0.750997,0.27923
de,it,nsubj,433.0,0.038281,0.076923,0.642493,0.514078
de,it,obj,336.0,-0.087228,0.132867,0.647504,0.44953
de,it,case,1525.0,-0.048083,0.517483,0.49789,0.174391
de,it,amod,585.0,0.046451,0.552448,0.499104,0.340519
de,pt,nsubj,1115.0,0.100305,0.447552,0.678342,0.449739
de,pt,obj,584.0,-0.032698,0.244755,0.687839,0.450088
de,pt,case,1525.0,0.170244,0.06993,0.568748,0.347585
de,pt,amod,793.0,-0.014517,0.258741,0.7399,0.287577
de,ro,nsubj,740.0,0.172498,0.286713,0.702705,0.372599
de,ro,obj,584.0,0.09328,0.713287,0.708749,0.371851
de,ro,case,1525.0,0.011213,-0.496503,0.510698,0.108199
de,ro,amod,793.0,0.190708,0.657343,0.547926,0.212346
es,fr,nsubj,519.0,0.008484,0.342657,0.634213,0.491327
es,fr,obj,344.0,-0.013982,0.34965,0.648187,0.582779
es,fr,case,1309.0,-0.129764,-0.230769,0.559248,0.323206
es,fr,amod,485.0,-0.111671,-0.335664,0.650113,0.507917
es,gl,nsubj,446.0,0.094944,0.678322,0.676188,0.499912
es,gl,obj,465.0,0.18343,0.727273,0.778117,0.686689
es,gl,case,1364.0,-0.038723,0.531469,0.568688,0.391287
es,gl,amod,572.0,0.037489,0.65035,0.776766,0.64111
es,it,nsubj,433.0,0.028937,-0.013986,0.567507,0.527538
es,it,obj,336.0,0.058914,-0.013986,0.58429,0.533932
es,it,case,1541.0,0.108669,0.097902,0.543417,0.309501
es,it,amod,585.0,0.042758,0.006993,0.564135,0.432843
es,pt,nsubj,1115.0,0.074403,0.692308,0.702994,0.512085
es,pt,obj,1026.0,0.169146,0.643357,0.82212,0.746427
es,pt,case,3378.0,-0.034463,0.531469,0.568781,0.452375
es,pt,amod,944.0,0.0398,0.678322,0.830291,0.644599
es,ro,nsubj,740.0,0.262531,0.531469,0.67329,0.399779
es,ro,obj,593.0,0.141339,0.573427,0.741118,0.630942
es,ro,case,2097.0,-0.080753,0.090909,0.565489,0.151387
es,ro,amod,1050.0,0.031678,0.370629,0.658918,0.517724
fr,gl,nsubj,446.0,0.158673,0.475524,0.713817,0.589165
fr,gl,obj,344.0,0.117274,0.573427,0.790383,0.615895
fr,gl,case,1309.0,0.029278,0.307692,0.660703,0.411848
fr,gl,amod,485.0,-0.033731,0.13986,0.755908,0.619154
fr,it,nsubj,433.0,0.060895,0.363636,0.610433,0.397347
fr,it,obj,336.0,0.020199,0.013986,0.676955,0.532204
fr,it,case,1309.0,-0.125625,0.188811,0.439056,0.272104
fr,it,amod,485.0,0.015485,0.006993,0.67923,0.577956
fr,pt,nsubj,519.0,0.112298,0.629371,0.732899,0.578314
fr,pt,obj,344.0,0.048947,0.41958,0.75942,0.647287
fr,pt,case,1309.0,0.042332,0.27972,0.644719,0.442123
fr,pt,amod,485.0,-0.01987,-0.132867,0.712487,0.590801
fr,ro,nsubj,519.0,0.16223,0.629371,0.69025,0.532361
fr,ro,obj,344.0,0.047384,0.41958,0.808026,0.71067
fr,ro,case,1309.0,0.106852,0.300699,0.530319,0.336613
fr,ro,amod,485.0,0.030287,0.342657,0.73599,0.600695
gl,it,nsubj,433.0,0.145868,-0.146853,0.582228,0.449031
gl,it,obj,336.0,0.202938,-0.118881,0.623732,0.550088
gl,it,case,1364.0,0.040865,0.118881,0.497778,0.190383
gl,it,amod,572.0,0.166397,0.076923,0.553862,0.437999
gl,ro,nsubj,446.0,0.266655,0.545455,0.761788,0.553296
gl,ro,obj,465.0,0.156571,0.426573,0.777558,0.709232
gl,ro,case,1364.0,0.127377,-0.034965,0.64699,0.404971
gl,ro,amod,572.0,0.139768,0.615385,0.7823,0.640764
it,pt,nsubj,433.0,0.194177,-0.013986,0.625677,0.500828
it,pt,obj,336.0,0.245298,-0.174825,0.669617,0.600362
it,pt,case,1541.0,0.101318,0.20979,0.496126,0.259099
it,pt,amod,585.0,0.205257,-0.146853,0.624753,0.506081
it,ro,nsubj,433.0,0.187819,0.223776,0.571019,0.410043
it,ro,obj,336.0,0.122743,0.202797,0.630203,0.501612
it,ro,case,1541.0,-0.133494,-0.286713,0.340668,0.132007
it,ro,amod,585.0,0.015091,0.083916,0.549779,0.4228
pt,ro,nsubj,740.0,0.20385,0.734266,0.744237,0.537814
pt,ro,obj,593.0,0.113588,0.237762,0.771606,0.663809
pt,ro,case,2097.0,0.080094,0.06993,0.57759,0.352054
pt,ro,amod,944.0,0.077984,0.363636,0.710268,0.538976
