deprel,rho_micro_index,rho_macro,rho_micro_matched_loo,iteration
nsubj,0.12319172756419106,0.4450077544553125,0.13761959877362542,0
obj,0.06908497438453434,0.39818079410129625,0.08857581634688114,0
case,0.022138438895507442,0.17421578694289425,0.011260923099996588,0
amod,0.05088395030457216,0.32263662456557374,0.03387499775734496,0
nsubj,0.14428491302003907,0.4450077544553125,0.1415443030415008,1
obj,0.08404293873778795,0.39818079410129625,0.10167575895465089,1
case,0.066638173173466,0.17421578694289425,0.035320645687019106,1
amod,0.06530608249892349,0.32263662456557374,0.0784887752039631,1
nsubj,0.1352134864390186,0.4450077544553125,0.12650260325614401,2
obj,0.07908134512051695,0.39818079410129625,0.10972634769164852,2
case,0.006990579447150461,0.17421578694289425,0.023574494642404832,2
amod,0.060423082702945975,0.32263662456557374,0.05431105436562789,2
nsubj,0.14191709094307034,0.4450077544553125,0.11482131706490503,3
obj,0.08397125940716332,0.39818079410129625,0.06448434518878898,3
case,0.03102659292983328,0.17421578694289425,-0.004358031524251408,3
amod,0.05107895548361619,0.32263662456557374,0.056572384281349496,3
nsubj,0.11542635796604489,0.4450077544553125,0.12761231024848815,4
obj,0.10362263355842927,0.39818079410129625,0.08405148661514987,4
case,0.028547057925230317,0.17421578694289425,5.598227449266476e-05,4
amod,0.03572400749935465,0.32263662456557374,0.032686054748009175,4
nsubj,0.09395421328623062,0.4450077544553125,0.11613544512967498,5
obj,0.09214436365586992,0.39818079410129625,0.08002409952381098,5
case,0.019603766271691518,0.17421578694289425,0.015344985216996643,5
amod,0.05807483265602906,0.32263662456557374,0.024337768734801993,5
nsubj,0.16320177337915667,0.4450077544553125,0.14552437320003098,6
obj,0.09945590088985705,0.39818079410129625,0.11286845837037009,6
case,0.06373585803075993,0.17421578694289425,0.005677105013890564,6
amod,0.056463366552404845,0.32263662456557374,0.047220729762854095,6
nsubj,0.116233781173319,0.4450077544553125,0.12910828365288485,7
obj,0.08398859899058282,0.39818079410129625,0.08868881160920551,7
case,0.028733162703946123,0.17421578694289425,0.0403033439798907,7
amod,0.03696122034724388,0.32263662456557374,0.06368152503679736,7
nsubj,0.1430279801367016,0.4450077544553125,0.07846435978458838,8
obj,0.08443349303272113,0.39818079410129625,0.11216873727676642,8
case,0.03253444388789923,0.17421578694289425,0.003922973348274652,8
amod,0.05493863859342065,0.32263662456557374,0.03579555665098691,8
nsubj,0.12167746350444233,0.4450077544553125,0.13771164508167905,9
obj,0.10932964555042898,0.39818079410129625,0.09153209592792626,9
case,0.039802526056384166,0.17421578694289425,-0.0010620773991484851,9
amod,0.03508732663767681,0.32263662456557374,0.038036425949996906,9
nsubj,0.11819157439929923,0.4450077544553125,0.1371528245826305,10
obj,0.10218126502699437,0.39818079410129625,0.11553593967711698,10
case,0.041847443436919866,0.17421578694289425,0.03986838698213334,10
amod,0.03743938134101547,0.32263662456557374,0.08087615714938942,10
nsubj,0.10621791541423801,0.4450077544553125,0.09161465495843343,11
obj,0.07948383819325963,0.39818079410129625,0.06933864409048367,11
case,0.0149487897169889,0.17421578694289425,0.018346923482050415,11
amod,0.059284448799270965,0.32263662456557374,0.026189795023693785,11
nsubj,0.12006466164813531,0.4450077544553125,0.10570972813939604,12
obj,0.09050880826959315,0.39818079410129625,0.08102076949645844,12
case,0.0033557208307051665,0.17421578694289425,0.03306549849561518,12
amod,0.029795573664335263,0.32263662456557374,0.052745755676931405,12
nsubj,0.09374830979645864,0.4450077544553125,0.13305421477283105,13
obj,0.0764110253114365,0.39818079410129625,0.0971702296765419,13
case,0.0024838604344326032,0.17421578694289425,0.03214085269087827,13
amod,0.027370468719603122,0.32263662456557374,0.03873875636625937,13
nsubj,0.12167802821953728,0.4450077544553125,0.13943587954520842,14
obj,0.105887079904177,0.39818079410129625,0.05550333936010606,14
case,0.02396309226764377,0.17421578694289425,0.03414856330500181,14
amod,0.014164561354603037,0.32263662456557374,0.056187873030159416,14
nsubj,0.12955445748770064,0.4450077544553125,0.13336767283773165,15
obj,0.09592913362787839,0.39818079410129625,0.09060523537204392,15
case,0.030578809703295507,0.17421578694289425,0.027422447388538832,15
amod,0.05359586426453752,0.32263662456557374,0.039729187662841677,15
nsubj,0.11658029968706099,0.4450077544553125,0.1283104818393739,16
obj,0.06347246703183798,0.39818079410129625,0.06443607383334694,16
case,0.009894508687209461,0.17421578694289425,0.048811838448498165,16
amod,0.04934510072767265,0.32263662456557374,0.03625082265854976,16
nsubj,0.06717578451475913,0.4450077544553125,0.1288383231301704,17
obj,0.07416322279653689,0.39818079410129625,0.07460416092828444,17
case,0.003328917867078586,0.17421578694289425,0.024668689177825772,17
amod,0.03414842088320386,0.32263662456557374,0.05629137668620646,17
nsubj,0.12066598990952267,0.4450077544553125,0.11495914648284822,18
obj,0.07986262481086462,0.39818079410129625,0.10963747423403318,18
case,0.0230027045864494,0.17421578694289425,0.033808345203427945,18
amod,0.06670542531314574,0.32263662456557374,0.045541454810221045,18
nsubj,0.11166564889239583,0.4450077544553125,0.14084381724493816,19
obj,0.10786304747529679,0.39818079410129625,0.07753365214355692,19
case,0.06710246246843322,0.17421578694289425,0.03564845811988112,19
amod,0.04141893223016436,0.32263662456557374,0.0414638059840855,19
nsubj,0.1383813968625266,0.4450077544553125,0.09324559108745081,20
obj,0.08732999800901257,0.39818079410129625,0.07584919775314379,20
case,0.03114653324814176,0.17421578694289425,0.04291334317853483,20
amod,0.05156909705939838,0.32263662456557374,0.0373426087929546,20
nsubj,0.13483128951517456,0.4450077544553125,0.11597915161966406,21
obj,0.1248537069865161,0.39818079410129625,0.11788116142502233,21
case,0.033260973962165576,0.17421578694289425,0.04339802220083697,21
amod,0.0505059325012944,0.32263662456557374,0.01769719606669345,21
nsubj,0.11537968257412781,0.4450077544553125,0.15019826583877827,22
obj,0.08806854503885955,0.39818079410129625,0.09946784555318677,22
case,0.002004208263013555,0.17421578694289425,0.0207250570656738,22
amod,0.04143361956286506,0.32263662456557374,0.08002653615405073,22
nsubj,0.13067571105353054,0.4450077544553125,0.1016164437055633,23
obj,0.09729003532657406,0.39818079410129625,0.08539573439353414,23
case,0.05364876135709971,0.17421578694289425,0.01625513340190974,23
amod,0.04061261325946738,0.32263662456557374,0.035675412599289615,23
nsubj,0.11794042805983397,0.4450077544553125,0.11045335520888376,24
obj,0.11374858201001616,0.39818079410129625,0.0933677909523747,24
case,0.021332430891881197,0.17421578694289425,0.016893052810649394,24
amod,0.03626301276455495,0.32263662456557374,-0.004095275181840339,24
nsubj,0.127323864718332,0.4450077544553125,0.10679635839529271,25
obj,0.10769445800916728,0.39818079410129625,0.09453317440747104,25
case,0.01412897320254388,0.17421578694289425,0.024273443655967054,25
amod,0.07868958838813712,0.32263662456557374,0.07457540336646512,25
nsubj,0.09570858262045695,0.4450077544553125,0.11892188712790022,26
obj,0.11534948849784371,0.39818079410129625,0.0732170089685239,26
case,0.05245897815035386,0.17421578694289425,0.0467907024598734,26
amod,0.031163185865496948,0.32263662456557374,0.005492768497830352,26
nsubj,0.1560135860476823,0.4450077544553125,0.10536530888564241,27
obj,0.10970625326436177,0.39818079410129625,0.08296235638069428,27
case,0.027335424977253615,0.17421578694289425,0.00683839375222398,27
amod,0.0627327189742601,0.32263662456557374,0.0737677275782432,27
nsubj,0.1299195671946286,0.4450077544553125,0.1278003095346626,28
obj,0.08301759240855332,0.39818079410129625,0.09112790067865092,28
case,0.008257438636708192,0.17421578694289425,0.04710060732311519,28
amod,0.04224247497117654,0.32263662456557374,0.05411379470840208,28
nsubj,0.11617975161416813,0.4450077544553125,0.10945510238268581,29
obj,0.08855054728611937,0.39818079410129625,0.10766758262177395,29
case,0.034026840787214435,0.17421578694289425,0.019618667019673817,29
amod,0.04578818398052931,0.32263662456557374,0.05117810104057577,29
nsubj,0.10808361953609187,0.4450077544553125,0.11365744472436723,30
obj,0.09057507670514454,0.39818079410129625,0.0874316052100643,30
case,0.03618321670373702,0.17421578694289425,0.027732543758988665,30
amod,0.033830474507134764,0.32263662456557374,0.03778434404026687,30
nsubj,0.11134483279896162,0.4450077544553125,0.12562303359285773,31
obj,0.07974887325918924,0.39818079410129625,0.10304976560495245,31
case,0.012018704932005934,0.17421578694289425,0.03144797290766179,31
amod,0.050212124486681935,0.32263662456557374,0.0314803136013872,31
nsubj,0.13966939325916164,0.4450077544553125,0.1398237268377518,32
obj,0.09537067384834663,0.39818079410129625,0.09901383147704028,32
case,0.01659129767012721,0.17421578694289425,0.030235346218908627,32
amod,0.06593318272628874,0.32263662456557374,0.03349115788089755,32
nsubj,0.14972156360246142,0.4450077544553125,0.13792839882387384,33
obj,0.05919325240238528,0.39818079410129625,0.08258330659625567,33
case,-0.0013432766606332998,0.17421578694289425,0.03308335632943597,33
amod,0.022589590619268348,0.32263662456557374,0.05212647757892415,33
nsubj,0.1440568566097955,0.4450077544553125,0.12657770618069894,34
obj,0.09654974281958124,0.39818079410129625,0.10306375380498883,34
case,0.0453981404257578,0.17421578694289425,0.04208820724968078,34
amod,0.041234455332528445,0.32263662456557374,0.030844099978217288,34
nsubj,0.12871757642429352,0.4450077544553125,0.11886011823686102,35
obj,0.1162701146062133,0.39818079410129625,0.13609261320125554,35
case,0.0067039598368401464,0.17421578694289425,0.0055519373167822435,35
amod,0.04853530874710534,0.32263662456557374,0.049814496434790585,35
nsubj,0.12867569547962138,0.4450077544553125,0.1247540689894573,36
obj,0.08176689581519332,0.39818079410129625,0.10273685645619711,36
case,-0.007873046734056192,0.17421578694289425,0.026315822926013695,36
amod,0.024867429229843613,0.32263662456557374,0.06561500886702551,36
nsubj,0.13186254622217186,0.4450077544553125,0.12700541013149724,37
obj,0.09290593063695789,0.39818079410129625,0.0676947594318825,37
case,0.05584579616773915,0.17421578694289425,0.03033539977534389,37
amod,0.045870828026315036,0.32263662456557374,0.024502233696394718,37
nsubj,0.12336621519705918,0.4450077544553125,0.10087960763273428,38
obj,0.08915417086640574,0.39818079410129625,0.092041182498548,38
case,0.012235440746183863,0.17421578694289425,0.029815407969755684,38
amod,0.03251476379399272,0.32263662456557374,0.03298799349089167,38
nsubj,0.1164556196037933,0.4450077544553125,0.13747702317468477,39
obj,0.08466735249793252,0.39818079410129625,0.11744621979761209,39
case,0.021175370844809527,0.17421578694289425,0.04074986820805516,39
amod,0.04940756821141943,0.32263662456557374,0.07847355089119624,39
nsubj,0.11934485133320066,0.4450077544553125,0.13616816127928466,40
obj,0.0782370373939051,0.39818079410129625,0.11842040792372634,40
case,0.018632027735197794,0.17421578694289425,0.02129192522791108,40
amod,0.034374803178397584,0.32263662456557374,0.04405473719773522,40
nsubj,0.14103528365655307,0.4450077544553125,0.09615733290756066,41
obj,0.0923576111884076,0.39818079410129625,0.10289449675270626,41
case,0.01752330412937399,0.17421578694289425,0.023633240179400057,41
amod,0.059012435171255664,0.32263662456557374,0.07212450691595905,41
nsubj,0.09676283684290092,0.4450077544553125,0.11395000253880462,42
obj,0.1213980750649341,0.39818079410129625,0.10318274473086188,42
case,0.0213648030460271,0.17421578694289425,-0.006197335136850939,42
amod,0.026833670041385836,0.32263662456557374,0.04304833927480526,42
nsubj,0.0890454725326761,0.4450077544553125,0.12623629552303525,43
obj,0.10327339141164708,0.39818079410129625,0.07433037451415032,43
case,0.009750143581035925,0.17421578694289425,-0.017262385737212137,43
amod,0.03335570241431566,0.32263662456557374,0.06523120311305723,43
nsubj,0.11407000047429634,0.4450077544553125,0.11833257104839887,44
obj,0.09065320992910808,0.39818079410129625,0.08035737173181265,44
case,0.00516482042868899,0.17421578694289425,0.048525159959778276,44
amod,0.04204097814014015,0.32263662456557374,-0.002638981351328833,44
nsubj,0.14524379860773115,0.4450077544553125,0.08848277818460862,45
obj,0.09181569602666849,0.39818079410129625,0.08609907928602922,45
case,0.005285000039581407,0.17421578694289425,0.03825490876675845,45
amod,0.022972781869292504,0.32263662456557374,0.039966414321355344,45
nsubj,0.11427811198400085,0.4450077544553125,0.14158507675845686,46
obj,0.0750442048813496,0.39818079410129625,0.0860585742949399,46
case,0.029006569657818844,0.17421578694289425,0.02776110966166201,46
amod,0.053393736466957435,0.32263662456557374,0.07823060931607018,46
nsubj,0.0964685742646042,0.4450077544553125,0.126882639782753,47
obj,0.09031013538714448,0.39818079410129625,0.1104524111126694,47
case,0.04268194493374679,0.17421578694289425,0.006984692215698146,47
amod,0.06993791989618722,0.32263662456557374,0.05322465509312394,47
nsubj,0.11363553056093294,0.4450077544553125,0.11935943932382465,48
obj,0.10785671297393995,0.39818079410129625,0.11600324031520828,48
case,0.03311100589876577,0.17421578694289425,0.0542965304045462,48
amod,0.01087346201231502,0.32263662456557374,0.0908214775527935,48
nsubj,0.13190219887508756,0.4450077544553125,0.11931312528521333,49
obj,0.09358504442222522,0.39818079410129625,0.10922300454799375,49
case,-0.0022937268121615787,0.17421578694289425,0.048139867936678106,49
amod,0.053859570266167375,0.32263662456557374,0.08933298676867346,49
nsubj,0.10868713200606303,0.4450077544553125,0.10962997324955857,50
obj,0.06242408645795604,0.39818079410129625,0.06265669062577878,50
case,0.018544266722911033,0.17421578694289425,0.01703758943219,50
amod,0.04127485275596518,0.32263662456557374,0.024188403568859315,50
nsubj,0.102540614599227,0.4450077544553125,0.1183710273419282,51
obj,0.09618962969651905,0.39818079410129625,0.0690711076784515,51
