deprel,rho_micro_index,rho_macro,rho_micro_matched_loo,iteration
nsubj,0.06849843375252951,0.19008368598853612,0.22902454087960084,0
obj,0.09155056571768426,0.3205534035925564,0.34369766859267653,0
case,0.054175613408973575,0.25901009309373246,0.25980157441334206,0
amod,0.06993411970920317,0.22880102568307167,0.3378945152719108,0
nsubj,0.09269982760514317,0.2885514093773392,0.2847192959456829,1
obj,0.07617235926020201,0.32820424910540036,0.34305929824420334,1
case,0.11489779547606306,0.21320146062414108,0.19141782190721637,1
amod,0.09699048135798381,0.24280085535201498,0.3086962905634403,1
nsubj,0.1273552002284385,0.4151767457098636,0.3533512521589787,2
obj,0.07036509054764634,0.265128530848612,0.27705418451962016,2
case,0.0743278722263545,0.23735323640028821,0.23454179175380221,2
amod,0.0980677128764961,0.20480505323388873,0.24603259931547264,2
nsubj,0.08890988099399345,0.14190381088363638,0.2923458578547117,3
obj,0.10626652332936634,0.3300867806891903,0.294155623929857,3
case,0.07539662352601448,0.37502734031959845,0.27511791432787486,3
amod,0.07974735183577872,0.2706443121118409,0.2224359573193344,3
nsubj,0.07240352650065535,0.2520353173679125,0.4465788155465148,4
obj,0.03248943964056207,0.16851718893700904,0.2344559270396473,4
case,0.09900383369038884,0.39025458448321937,0.40515095911016163,4
amod,0.10957511737552801,0.31524824323466694,0.3557560516153473,4
nsubj,0.06320235976126576,0.2210772565555674,0.27451976373585313,5
obj,0.09705074564776613,0.31457174498897245,0.35603922636873864,5
case,0.08087757817398689,0.29463725000343793,0.28347978945935587,5
amod,0.0805594958774315,0.25997730145960235,0.37422069716470086,5
nsubj,0.07578675257538836,0.25565173877217673,0.2787448220669339,6
obj,0.061843379391024036,0.32727607391552777,0.24269596481599076,6
case,0.1044852635479938,0.15563357955228724,0.2701853139383462,6
amod,0.0986381629060101,0.3227525755693952,0.2684847889168949,6
nsubj,0.05361322163124708,0.19780639550864546,0.1544860560525538,7
obj,0.11987536366076201,0.4231413537130311,0.3052960802031438,7
case,0.1344104168254187,0.39592819970726956,0.4272094315951043,7
amod,0.052519232423528156,0.11524873431653093,0.231175956568271,7
nsubj,0.09315780175193626,0.24095676922061893,0.3364780870620222,8
obj,0.03122110510049741,0.23282774611148688,0.2579711990918743,8
case,0.07615008269965454,0.3159700774605258,0.27681527245519605,8
amod,0.07841342333160951,0.24998720379192693,0.29829366825197556,8
nsubj,0.08877627927356722,0.33653364428045585,0.3991613737578262,9
obj,0.0236471076429879,0.17248035130114264,0.18604620903649827,9
case,0.11529746942598441,0.3304454750875934,0.38838866790930476,9
amod,0.08512168404558863,0.2984209225562515,0.22015446349102058,9
nsubj,0.17036734700778894,0.4849503247561501,0.28992476202887985,10
obj,0.024169985157591955,0.0960965650148774,0.23742933680184117,10
case,0.0728839206681262,0.31225984399173085,0.389785227887407,10
amod,0.11649568852685208,0.2802903370270006,0.34604299058217103,10
nsubj,0.07119545905995756,0.3701428275487523,0.2965002604124937,11
